step_time,reward,total_stopped,total_wait_time
2645.0,0,0,0.0
2650.0,0,0,0.0
2655.0,0,0,0.0
2660.0,0,0,0.0
2665.0,0,0,0.0
2670.0,0,0,0.0
2675.0,0,0,0.0
2680.0,0,0,0.0
2685.0,0,0,0.0
2690.0,0,0,0.0
2695.0,0,0,0.0
2700.0,0,0,0.0
2705.0,0,0,0.0
2710.0,0,0,0.0
2715.0,0,0,0.0
2720.0,0,0,0.0
2725.0,0,0,0.0
2730.0,0,0,0.0
2735.0,2,0,0.0
2740.0,2,0,0.0
2745.0,1,0,0.0
2750.0,-1,0,0.0
2755.0,0,0,0.0
2760.0,-1,0,0.0
2765.0,0,0,0.0
2770.0,2,0,0.0
2775.0,0,0,0.0
2780.0,0,0,0.0
2785.0,1,1,2.0
2790.0,1,1,7.0
2795.0,1,1,12.0
2800.0,1,1,17.0
2805.0,2,1,22.0
2810.0,3,1,27.0
2815.0,3,2,33.0
2820.0,4,3,47.0
2825.0,3,3,62.0
2830.0,2,3,77.0
2835.0,4,3,92.0
2840.0,3,3,107.0
2845.0,2,3,122.0
2850.0,3,3,137.0
2855.0,3,3,152.0
2860.0,4,3,167.0
2865.0,3,3,182.0
2870.0,2,3,197.0
2875.0,3,3,212.0
2880.0,3,3,227.0
2885.0,4,3,242.0
2890.0,2,3,257.0
2895.0,2,3,272.0
2900.0,4,3,287.0
2905.0,4,3,302.0
2910.0,2,3,317.0
2915.0,5,3,332.0
2920.0,5,3,347.0
2925.0,5,5,367.0
2930.0,5,5,392.0
2935.0,6,5,417.0
2940.0,7,5,442.0
2945.0,7,6,469.0
2950.0,7,7,501.0
2955.0,7,7,536.0
2960.0,7,7,571.0
2965.0,8,7,606.0
2970.0,8,7,641.0
2975.0,6,7,676.0
2980.0,6,7,711.0
2985.0,7,7,746.0
2990.0,7,7,781.0
2995.0,7,7,816.0
3000.0,7,7,851.0
3005.0,7,7,886.0
3010.0,8,7,921.0
3015.0,8,7,956.0
3020.0,7,7,991.0
3025.0,7,7,1026.0
3030.0,7,7,1061.0
3035.0,9,7,1096.0
3040.0,9,7,1131.0
3045.0,2,1,448.0
3050.0,-5,1,5.0
3055.0,-1,1,10.0
3060.0,0,0,0.0
3065.0,-1,0,0.0
3070.0,0,0,0.0
3075.0,1,0,0.0
3080.0,1,0,0.0
3085.0,-1,0,0.0
3090.0,-1,0,0.0
3095.0,0,0,0.0
3100.0,1,0,0.0
3105.0,-1,0,0.0
3110.0,-1,0,0.0
3115.0,0,0,0.0
3120.0,0,0,0.0
3125.0,0,0,0.0
3130.0,0,0,0.0
3135.0,0,0,0.0
3140.0,0,0,0.0
3145.0,0,0,0.0
3150.0,0,0,0.0
3155.0,1,0,0.0
3160.0,1,0,0.0
3165.0,1,0,0.0
3170.0,2,0,0.0
3175.0,-2,0,0.0
3180.0,-2,0,0.0
3185.0,1,0,0.0
3190.0,1,0,0.0
3195.0,1,0,0.0
3200.0,2,0,0.0
3205.0,3,0,0.0
3210.0,4,2,8.0
3215.0,4,3,22.0
3220.0,5,4,41.0
3225.0,5,4,61.0
3230.0,2,0,34.0
3235.0,-4,0,0.0
3240.0,-2,0,0.0
3245.0,1,0,0.0
3250.0,1,1,2.0
3255.0,3,1,7.0
3260.0,1,1,12.0
3265.0,-1,1,17.0
3270.0,0,1,22.0
3275.0,1,1,27.0
3280.0,1,1,32.0
3285.0,3,1,37.0
3290.0,3,1,42.0
3295.0,1,1,47.0
3300.0,0,1,52.0
3305.0,0,1,57.0
3310.0,2,2,66.0
3315.0,2,2,76.0
3320.0,3,2,86.0
3325.0,3,2,96.0
3330.0,1,2,87.0
3335.0,1,2,97.0
3340.0,2,2,116.0
3345.0,3,2,126.0
3350.0,4,2,136.0
3355.0,4,3,148.0
3360.0,4,4,166.0
3365.0,4,4,186.0
3370.0,4,4,206.0
3375.0,4,4,226.0
3380.0,4,4,246.0
3385.0,4,4,266.0
3390.0,4,4,286.0
3395.0,4,4,306.0
3400.0,4,4,326.0
3405.0,5,4,346.0
3410.0,5,4,366.0
3415.0,5,5,390.0
3420.0,5,5,415.0
3425.0,6,5,440.0
3430.0,5,5,366.0
3435.0,5,3,381.0
3440.0,4,5,403.0
3445.0,5,5,428.0
3450.0,5,5,453.0
3455.0,5,5,478.0
3460.0,2,0,139.0
3465.0,-4,0,0.0
3470.0,-1,1,1.0
3475.0,1,0,0.0
3480.0,-1,0,0.0
3485.0,1,0,0.0
3490.0,0,0,0.0
3495.0,0,1,3.0
3500.0,2,1,8.0
3505.0,2,1,13.0
3510.0,3,2,21.0
3515.0,2,2,31.0
3520.0,1,2,41.0
3525.0,2,2,51.0
3530.0,2,2,61.0
3535.0,2,2,71.0
3540.0,2,2,81.0
3545.0,2,2,91.0
3550.0,0,0,0.0
3555.0,-1,0,0.0
3560.0,1,0,0.0
3565.0,0,0,0.0
3570.0,-1,0,0.0
3575.0,0,0,0.0
3580.0,0,0,0.0
3585.0,1,0,0.0
3590.0,2,0,0.0
3595.0,-1,0,0.0
3600.0,-2,0,0.0
3605.0,0,0,0.0
3610.0,0,0,0.0
3615.0,0,0,0.0
3620.0,1,0,0.0
3625.0,1,0,0.0
3630.0,1,1,2.0
3635.0,1,1,7.0
3640.0,3,1,12.0
3645.0,1,1,17.0
3650.0,1,1,22.0
3655.0,1,1,27.0
3660.0,0,1,32.0
3665.0,0,1,37.0
3670.0,1,1,42.0
3675.0,2,1,47.0
3680.0,2,2,54.0
3685.0,3,2,64.0
3690.0,3,2,74.0
3695.0,1,2,84.0
3700.0,1,2,94.0
3705.0,2,2,104.0
3710.0,2,2,114.0
3715.0,2,2,124.0
3720.0,2,2,134.0
3725.0,2,2,144.0
3730.0,2,2,154.0
3735.0,2,2,164.0
3740.0,2,2,174.0
3745.0,3,2,184.0
3750.0,3,2,194.0
3755.0,2,2,204.0
3760.0,2,2,214.0
3765.0,1,2,224.0
3770.0,1,2,234.0
3775.0,2,2,244.0
3780.0,3,2,254.0
3785.0,1,2,264.0
3790.0,2,2,274.0
3795.0,4,2,284.0
3800.0,2,2,294.0
3805.0,0,2,304.0
3810.0,2,2,314.0
3815.0,4,2,324.0
3820.0,0,1,1.0
3825.0,0,2,10.0
3830.0,3,2,20.0
3835.0,2,0,12.0
3840.0,0,0,0.0
3845.0,0,1,2.0
3850.0,1,2,11.0
3855.0,3,2,21.0
3860.0,3,2,31.0
3865.0,4,3,45.0
3870.0,4,3,60.0
3875.0,5,4,78.0
3880.0,4,4,98.0
3885.0,4,4,118.0
3890.0,4,4,138.0
3895.0,4,4,158.0
3900.0,4,4,178.0
3905.0,5,4,198.0
3910.0,4,4,218.0
3915.0,4,4,238.0
3920.0,5,4,258.0
3925.0,6,4,278.0
3930.0,7,5,302.0
3935.0,7,6,329.0
3940.0,7,7,362.0
3945.0,8,7,397.0
3950.0,7,7,432.0
3955.0,6,7,467.0
3960.0,6,7,502.0
3965.0,4,0,250.0
3970.0,-7,0,0.0
3975.0,-3,0,0.0
3980.0,1,0,0.0
3985.0,2,1,5.0
3990.0,3,1,10.0
3995.0,3,2,16.0
4000.0,3,3,31.0
4005.0,3,3,46.0
4010.0,4,3,61.0
4015.0,5,3,76.0
4020.0,6,4,94.0
4025.0,6,5,119.0
4030.0,7,6,149.0
4035.0,7,6,179.0
4040.0,8,7,213.0
4045.0,8,7,248.0
4050.0,7,7,283.0
4055.0,7,7,318.0
4060.0,7,7,353.0
4065.0,8,7,388.0
4070.0,6,7,423.0
4075.0,7,7,458.0
4080.0,8,7,493.0
4085.0,6,7,528.0
4090.0,6,7,563.0
4095.0,7,7,598.0
4100.0,7,7,633.0
4105.0,8,7,668.0
4110.0,7,7,703.0
4115.0,5,3,479.0
4120.0,2,0,267.0
4125.0,0,1,85.0
4130.0,-1,1,84.0
4135.0,1,1,89.0
4140.0,0,1,94.0
4145.0,0,1,99.0
4150.0,2,1,104.0
4155.0,3,1,109.0
4160.0,3,1,114.0
4165.0,-1,0,0.0
4170.0,1,1,1.0
4175.0,2,2,11.0
4180.0,0,0,8.0
4185.0,-2,0,0.0
4190.0,-1,0,0.0
4195.0,0,0,0.0
4200.0,0,0,0.0
4205.0,3,0,0.0
4210.0,3,0,0.0
4215.0,1,0,0.0
4220.0,2,1,4.0
4225.0,5,2,12.0
4230.0,4,4,31.0
4235.0,4,4,51.0
4240.0,4,4,71.0
4245.0,5,4,91.0
4250.0,6,4,111.0
4255.0,6,5,136.0
4260.0,6,6,162.0
4265.0,7,6,192.0
4270.0,7,6,222.0
4275.0,4,1,165.0
4280.0,-2,0,49.0
4285.0,-3,0,0.0
4290.0,0,0,0.0
4295.0,0,0,0.0
4300.0,0,0,0.0
4305.0,1,0,0.0
4310.0,-1,0,0.0
4315.0,-2,0,0.0
4320.0,-1,0,0.0
4325.0,2,0,0.0
4330.0,2,0,0.0
4335.0,1,1,4.0
4340.0,2,1,9.0
4345.0,1,1,14.0
4350.0,1,1,19.0
4355.0,3,2,25.0
4360.0,4,3,40.0
4365.0,2,0,0.0
4370.0,-3,0,0.0
4375.0,-1,0,0.0
4380.0,1,0,0.0
4385.0,2,1,3.0
4390.0,1,1,8.0
4395.0,2,1,13.0
4400.0,1,1,18.0
4405.0,-1,1,23.0
4410.0,2,1,28.0
4415.0,2,1,33.0
4420.0,0,1,38.0
4425.0,3,1,43.0
4430.0,3,1,48.0
4435.0,1,1,53.0
4440.0,1,2,63.0
4445.0,3,3,74.0
4450.0,3,3,89.0
4455.0,3,3,104.0
4460.0,5,3,119.0
4465.0,6,3,134.0
4470.0,6,4,150.0
4475.0,9,6,173.0
4480.0,10,6,203.0
4485.0,7,7,237.0
4490.0,7,7,272.0
4495.0,6,7,307.0
4500.0,1,1,69.0
4505.0,-2,0,44.0
4510.0,-1,1,5.0
4515.0,-4,0,0.0
4520.0,-2,0,0.0
4525.0,1,0,0.0
4530.0,1,0,0.0
4535.0,2,1,2.0
4540.0,1,1,7.0
4545.0,0,1,12.0
4550.0,1,1,17.0
4555.0,1,0,0.0
4560.0,0,0,0.0
4565.0,2,1,1.0
4570.0,1,0,0.0
4575.0,-2,0,0.0
4580.0,-2,0,0.0
4585.0,0,0,0.0
4590.0,0,0,0.0
4595.0,0,0,0.0
4600.0,1,0,0.0
4605.0,-1,0,0.0
4610.0,-1,0,0.0
4615.0,0,0,0.0
4620.0,1,0,0.0
4625.0,-1,0,0.0
4630.0,0,0,0.0
4635.0,3,0,0.0
4640.0,1,0,0.0
4645.0,-3,0,0.0
4650.0,-1,0,0.0
4655.0,0,0,0.0
4660.0,1,0,0.0
4665.0,2,0,0.0
4670.0,4,1,4.0
4675.0,4,2,12.0
4680.0,5,4,29.0
4685.0,5,5,50.0
4690.0,5,5,75.0
4695.0,6,5,100.0
4700.0,6,5,125.0
4705.0,4,5,150.0
4710.0,5,5,175.0
4715.0,5,5,200.0
4720.0,5,5,225.0
4725.0,5,5,250.0
4730.0,5,5,275.0
4735.0,5,5,300.0
4740.0,5,5,325.0
4745.0,5,5,350.0
4750.0,6,5,375.0
4755.0,5,5,400.0
4760.0,4,5,425.0
4765.0,7,5,450.0
4770.0,6,5,475.0
4775.0,6,5,500.0
4780.0,6,5,525.0
4785.0,5,5,550.0
4790.0,3,5,575.0
4795.0,2,5,600.0
4800.0,3,1,360.0
4805.0,1,0,116.0
4810.0,-1,0,0.0
4815.0,-2,0,0.0
4820.0,-1,0,0.0
4825.0,-1,0,0.0
4830.0,-1,0,0.0
4835.0,-1,0,0.0
4840.0,0,0,0.0
4845.0,1,0,0.0
4850.0,1,0,0.0
4855.0,-1,0,0.0
4860.0,0,0,0.0
4865.0,2,0,0.0
4870.0,1,0,0.0
4875.0,0,0,0.0
4880.0,1,0,0.0
4885.0,0,0,0.0
4890.0,-2,0,0.0
4895.0,-1,0,0.0
4900.0,1,0,0.0
4905.0,2,0,0.0
4910.0,3,1,3.0
4915.0,3,2,9.0
4920.0,3,3,22.0
4925.0,3,3,37.0
4930.0,3,3,52.0
4935.0,3,3,67.0
4940.0,3,3,82.0
4945.0,3,3,97.0
4950.0,4,3,112.0
4955.0,4,3,127.0
4960.0,4,4,146.0
4965.0,4,4,166.0
4970.0,5,4,186.0
4975.0,5,5,207.0
4980.0,7,5,232.0
4985.0,9,5,257.0
4990.0,6,5,282.0
4995.0,2,5,307.0
5000.0,3,5,332.0
5005.0,4,5,357.0
5010.0,6,5,382.0
5015.0,6,5,407.0
5020.0,1,0,211.0
5025.0,-3,1,2.0
5030.0,-1,1,7.0
5035.0,1,0,0.0
5040.0,0,0,0.0
5045.0,-1,0,0.0
5050.0,1,0,0.0
5055.0,1,0,0.0
5060.0,0,0,0.0
5065.0,2,1,3.0
5070.0,4,2,10.0
5075.0,4,2,20.0
5080.0,4,3,35.0
5085.0,5,4,55.0
5090.0,5,4,75.0
5095.0,6,5,100.0
5100.0,7,5,125.0
5105.0,7,6,151.0
5110.0,8,7,186.0
5115.0,8,7,221.0
5120.0,8,7,256.0
5125.0,8,7,291.0
5130.0,11,9,332.0
5135.0,12,9,377.0
5140.0,14,10,424.0
5145.0,13,12,481.0
5150.0,11,12,541.0
5155.0,11,12,601.0
5160.0,12,12,661.0
5165.0,12,12,721.0
5170.0,12,12,781.0
5175.0,14,12,841.0
5180.0,15,13,903.0
5185.0,17,14,972.0
5190.0,17,15,1047.0
5195.0,17,17,1131.0
5200.0,17,17,1216.0
5205.0,18,17,1301.0
5210.0,19,18,1387.0
5215.0,20,18,1477.0
5220.0,21,20,1572.0
5225.0,21,21,1674.0
5230.0,22,21,1779.0
5235.0,21,21,1884.0
5240.0,21,21,1989.0
5245.0,21,21,2094.0
5250.0,20,21,2199.0
5255.0,21,21,2304.0
5260.0,23,21,2409.0
5265.0,22,21,2514.0
5270.0,17,21,2619.0
5275.0,19,21,2724.0
5280.0,21,21,2829.0
5285.0,21,21,2934.0
5290.0,21,21,3039.0
5295.0,22,21,3144.0
5300.0,22,21,3249.0
5305.0,20,21,3354.0
5310.0,20,21,3459.0
5315.0,21,21,3564.0
5320.0,18,9,2716.0
5325.0,2,0,966.0
5330.0,-10,1,320.0
5335.0,-3,2,325.0
5340.0,2,3,339.0
5345.0,3,3,354.0
5350.0,3,3,369.0
5355.0,3,3,384.0
5360.0,3,3,399.0
5365.0,4,3,414.0
5370.0,4,3,429.0
5375.0,3,1,139.0
